timestamp,X,Y,Z
1568654740138,-0.347159,9.731233,0.922965
1568654740148,-0.374693,9.738416,0.921768
1568654740157,-0.424971,9.716867,0.914585
1568654740167,-0.434548,9.707291,0.922965
1568654740177,-0.420182,9.704897,0.940921
1568654740186,-0.390255,9.720459,0.962469
1568654740196,-0.359130,9.738416,0.958878
1568654740205,-0.366313,9.736021,0.951695
1568654740215,-0.363919,9.730036,0.954089
1568654740224,-0.380678,9.721656,0.990002
1568654740233,-0.384269,9.724051,0.967257
1568654740242,-0.395043,9.732430,0.945710
1568654740252,-0.415394,9.714474,0.938527
1568654740262,-0.414197,9.707291,0.939724
1568654740271,-0.403423,9.706094,0.930147
1568654740281,-0.390255,9.726444,0.912191
1568654740291,-0.377087,9.720459,0.915782
1568654740300,-0.396240,9.691729,0.916979
1568654740309,-0.390255,9.694122,0.942118
1568654740319,-0.387861,9.708488,0.987608
1568654740328,-0.381875,9.731233,0.991199
1568654740338,-0.379481,9.732430,0.974440
1568654740347,-0.407014,9.713276,0.974440
1568654740357,-0.413000,9.710882,0.988805
1568654740367,-0.413000,9.728839,1.015141
1568654740376,-0.429759,9.726444,1.007959
1568654740385,-0.398635,9.720459,0.952892
1568654740395,-0.373495,9.716867,0.921768
1568654740404,-0.384269,9.713276,0.918176
1568654740413,-0.397437,9.709685,0.942118
1568654740423,-0.404620,9.715671,0.972046
1568654740433,-0.410606,9.713276,0.985214
1568654740442,-0.416591,9.716867,0.973243
1568654740451,-0.391452,9.736021,0.956484
1568654740461,-0.361524,9.739613,0.992397
1568654740470,-0.348356,9.740809,1.010353
1568654740480,-0.356736,9.732430,0.997185
1568654740489,-0.383072,9.719262,0.987608
1568654740498,-0.401029,9.716867,0.979228
1568654740508,-0.404620,9.714474,0.954089
1568654740518,-0.378284,9.706094,0.936133
1568654740527,-0.377087,9.716867,0.925359
1568654740537,-0.391452,9.718064,0.940921
1568654740547,-0.389058,9.734824,0.984017
1568654740556,-0.397437,9.751583,1.000776
1568654740566,-0.421380,9.736021,1.024718
1568654740575,-0.441730,9.706094,1.041478
1568654740584,-0.409408,9.716867,1.037886
1568654740594,-0.343568,9.738416,1.054646
1568654740604,-0.312443,9.737218,1.058237
1568654740613,-0.318429,9.733627,1.011550
1568654740623,-0.356736,9.731233,0.972046
1568654740632,-0.385466,9.715671,0.979228
1568654740641,-0.414197,9.715671,0.984017
1568654740651,-0.416591,9.704897,0.978031
1568654740660,-0.404620,9.704897,0.986411
1568654740669,-0.396240,9.718064,0.995988
1568654740678,-0.377087,9.716867,0.992397
1568654740688,-0.372298,9.715671,0.969652
1568654740697,-0.373495,9.709685,0.956484
1568654740706,-0.389058,9.708488,0.966060
1568654740716,-0.407014,9.701305,0.967257
1568654740726,-0.404620,9.713276,0.991199
1568654740735,-0.380678,9.725247,1.001973
1568654740744,-0.360327,9.726444,1.010353
1568654740753,-0.343568,9.702502,1.001973
1568654740763,-0.379481,9.696517,0.991199
1568654740773,-0.423774,9.688137,0.987608
1568654740782,-0.441730,9.674969,0.986411
1568654740791,-0.470461,9.662998,0.973243
1568654740801,-0.435745,9.688137,0.961272
1568654740810,-0.365116,9.712079,1.009156
1568654740820,-0.319626,9.725247,1.061828
1568654740829,-0.283713,9.743204,1.071405
1568654740838,-0.299275,9.740809,1.035492
1568654740848,-0.332794,9.736021,0.993594
1568654740857,-0.377087,9.720459,0.985214
1568654740866,-0.411803,9.706094,0.984017
1568654740876,-0.410606,9.716867,0.979228
1568654740885,-0.378284,9.715671,0.973243
1568654740894,-0.372298,9.714474,0.962469
1568654740904,-0.391452,9.712079,0.979228
1568654740913,-0.383072,9.710882,1.000776
1568654740923,-0.330400,9.702502,0.870292
1568654740932,-0.293290,9.763555,0.993594
1568654740941,-0.355539,9.751583,1.023521
1568654740950,-0.415394,9.718064,1.042675
1568654740960,-0.402226,9.720459,1.069011
1568654740969,-0.402226,9.720459,1.069011
1568654740979,-0.383072,9.721656,1.061828
1568654740989,-0.374693,9.721656,1.046266
1568654740998,-0.361524,9.721656,1.046266
1568654741008,-0.369904,9.716867,1.055843
1568654741017,-0.378284,9.710882,1.024718
1568654741027,-0.366313,9.716867,0.969652
1568654741037,-0.366313,9.720459,0.954089
1568654741047,-0.373495,9.721656,0.964863
1568654741056,-0.381875,9.721656,0.969652
1568654741065,-0.403423,9.646238,0.997185
1568654741075,-0.369904,9.697714,0.970849
1568654741084,-0.383072,9.727641,0.999579
1568654741094,-0.342371,9.743204,1.055843
1568654741103,-0.345962,9.739613,1.083376
1568654741112,-0.384269,9.714474,1.052252
1568654741122,-0.372298,9.710882,1.015141
1568654741131,-0.373495,9.715671,0.979228
1568654741140,-0.373495,9.710882,0.987608
1568654741150,-0.357933,9.713276,1.015141
1568654741160,-0.371101,9.712079,1.025915
1568654741169,-0.373495,9.721656,1.005565
1568654741178,-0.371101,9.709685,0.998382
1568654741187,-0.366313,9.709685,1.007959
1568654741197,-0.386664,9.701305,1.018733
1568654741207,-0.389058,9.695320,1.012747
1568654741216,-0.383072,9.709685,1.013944
1568654741225,-0.371101,9.709685,1.040281
1568654741235,-0.361524,9.713276,1.060631
1568654741244,-0.360327,9.715671,1.052252
1568654741254,-0.374693,9.713276,1.029507
1568654741263,-0.395043,9.700109,1.037886
1568654741272,-0.407014,9.701305,1.035492
1568654741282,-0.390255,9.706094,1.029507
1568654741291,-0.377087,9.709685,0.997185
1568654741300,-0.371101,9.719262,0.997185
1568654741310,-0.360327,9.713276,1.021127
1568654741319,-0.359130,9.710882,1.027112
1568654741329,-0.373495,9.702502,1.019930
1568654741339,-0.379481,9.707291,1.015141
1568654741348,-0.386664,9.709685,1.035492
1568654741357,-0.369904,9.708488,1.061828
1568654741367,-0.389058,9.664195,1.052252
1568654741377,-0.347159,9.712079,0.962469
1568654741386,-0.405817,9.745598,0.964863
1568654741395,-0.464475,9.643845,0.893037
1568654741404,-0.428562,9.634268,0.916979
1568654741413,-0.409408,9.771935,0.973243
1568654741423,-0.219069,9.631873,0.678756
1568654741433,-0.169988,9.405622,0.836774
1568654741442,-0.313640,9.537302,1.024718
1568654741452,-0.472855,9.888053,1.139640
1568654741462,-0.476446,9.769540,1.186327
1568654741471,-0.372298,9.537302,1.112107
1568654741481,-0.335188,9.827001,1.086968
1568654741490,-0.307655,9.870096,1.181539
1568654741500,-0.252588,9.567230,1.119289
1568654741509,-0.252588,9.581595,1.064223
1568654741519,-0.414197,9.787497,1.255759
1568654741529,-0.446519,9.615114,1.204283
1568654741538,-0.331597,9.651027,1.098939
1568654741548,-0.147243,9.715671,1.001973
1568654741557,-0.128090,9.744401,0.845153
1568654741566,-0.269348,9.728839,0.816423
1568654741576,-0.494403,9.683349,1.031901
1568654741586,-0.557849,9.662998,1.016339
1568654741595,-0.422577,9.818622,1.034295
1568654741605,-0.256180,9.828198,1.192312
1568654741615,-0.203507,9.671378,1.057040
1568654741624,-0.189142,9.607931,0.979228
1568654741634,-0.171185,9.634268,0.967257
1568654741643,-0.147243,9.667787,1.001973
1568654741652,-0.160412,9.691729,1.112107
1568654741662,-0.248997,9.668983,1.234211
1568654741672,-0.410606,9.618706,1.325191
1568654741681,-0.481235,9.593566,1.369483
1568654741690,-0.457293,9.613917,1.358709
1568654741700,-0.343568,9.660604,1.452083
1568654741709,-0.154426,9.618706,1.465251
1568654741719,-0.007183,9.513360,1.474828
