"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.010177000E0,-4.214975052E-4,-2.598071098E-1,1.904677600E-2,2.605046864E-1
1.020451000E0,4.465424456E-3,-2.854634523E-1,2.026850730E-2,2.862169370E-1
1.029809000E0,5.687154830E-3,-3.123415112E-1,2.210110053E-2,3.131741082E-1
1.040114000E0,1.362840272E-2,-3.392196000E-1,2.149023861E-2,3.401727513E-1
1.050061000E0,8.741481230E-3,-3.758715093E-1,2.454456314E-2,3.767734606E-1
1.059745000E0,4.465424456E-3,-4.235189855E-1,3.004235029E-2,4.246066579E-1
1.070020000E0,5.687154830E-3,-4.742208123E-1,3.370754048E-2,4.754512813E-1
1.079695000E0,4.465424456E-3,-5.267552137E-1,3.920532763E-2,5.282310602E-1
1.089688000E0,5.076289643E-3,-5.731809735E-1,4.287051782E-2,5.748043828E-1
1.099922000E0,3.854559269E-3,-6.110545993E-1,4.531398043E-2,6.127445942E-1
1.109911000E0,-1.032362925E-3,-6.617563963E-1,4.959004000E-2,6.636126625E-1
1.119732000E0,-1.141707227E-2,-7.295624614E-1,6.119647995E-2,7.322135916E-1
1.129802000E0,-9.584476240E-3,-8.608984947E-1,6.669425964E-2,8.635312413E-1
1.140152000E0,-1.643228112E-3,-9.054916501E-1,7.158118486E-2,9.083180581E-1
1.150090000E0,5.076289643E-3,-9.238175750E-1,6.974859536E-2,9.264607639E-1
1.160219000E0,6.908885203E-3,-9.427544475E-1,7.035945356E-2,9.454015727E-1
1.169800000E0,6.298020482E-3,-9.696325064E-1,7.280291617E-2,9.723821919E-1
1.179728000E0,4.465424456E-3,-9.952887893E-1,7.463552058E-2,9.980932697E-1
1.189802000E0,3.243693849E-3,-1.019112587E0,7.768984139E-2,1.022074703E0
1.199836000E0,3.854559269E-3,-1.037438631E0,7.830069959E-2,1.040396449E0
1.209830000E0,-2.254093299E-3,-1.052710176E0,8.257676661E-2,1.055946361E0
1.220376000E0,-4.086689092E-3,-1.070425272E0,8.502022922E-2,1.073804174E0
1.230157000E0,-7.141015492E-3,-1.071647048E0,8.440935612E-2,1.074989920E0
1.239829000E0,-7.141015492E-3,-1.047823310E0,7.768984139E-2,1.050723748E0
1.249968000E0,8.130615577E-3,-1.002008438E0,7.158118486E-2,1.004594885E0
1.259954000E0,1.362840272E-2,-9.677999020E-1,6.180734560E-2,9.698672752E-1
1.270318000E0,4.966945574E-2,-9.439761639E-1,4.592484608E-2,9.463969274E-1
1.279611000E0,4.600426182E-2,-9.421435595E-1,4.897917435E-2,9.445368380E-1
1.290011000E0,1.973705553E-2,-9.910127521E-1,6.852686405E-2,9.935752398E-1
1.299839000E0,3.439782187E-2,-1.056986332E0,6.608340144E-2,1.059608575E0
1.309680000E0,1.912618987E-2,-1.113796711E0,7.952243090E-2,1.116795747E0
1.320104000E0,-4.086689092E-3,-1.168163776E0,9.845925868E-2,1.172312900E0
1.329907000E0,-3.475823672E-3,-1.209091783E0,9.784838557E-2,1.213049598E0
1.339717000E0,-4.214975052E-4,-1.307440996E0,1.027353108E-1,1.311471189E0
1.349927000E0,2.462397702E-2,-1.810183167E0,1.351111680E-1,1.815385487E0
1.359751000E0,2.340224758E-2,-2.132108927E0,1.589349061E-1,2.138152578E0
1.369742000E0,-1.032362925E-3,-2.465641499E0,2.004737556E-1,2.473778242E0
1.379772000E0,-1.569312811E-2,-2.796119452E0,2.395691127E-1,2.806407601E0
1.389661000E0,5.272378027E-2,-3.113158464E0,2.120801955E-1,3.120819353E0
1.399776000E0,2.767830342E-2,-3.438749790E0,2.450669259E-1,3.447582342E0
1.409937000E0,5.076289643E-3,-3.890789986E0,3.110403717E-1,3.903206194E0
1.420336000E0,9.976039827E-2,-4.436293125E0,2.658363581E-1,4.445370378E0
1.429613000E0,1.362840272E-2,-5.037995338E0,3.354749978E-1,5.049170847E0
1.440071000E0,-1.569312811E-2,-5.713612080E0,4.411546588E-1,5.730639293E0
1.449710000E0,-4.990158230E-2,-6.397170544E0,5.340061784E-1,6.419613986E0
1.460157000E0,3.195436299E-2,-7.075230598E0,5.523321033E-1,7.096828859E0
1.469835000E0,1.687881798E-1,-7.778947353E0,4.338243008E-1,7.792863075E0
1.479671000E0,-1.476400197E-1,-8.298793793E0,7.490307093E-1,8.333836031E0
1.489867000E0,-1.946766526E-1,-8.620108604E0,7.655240893E-1,8.656223107E0
1.500014000E0,-6.314452887E-1,-9.811906815E0,4.386009648E-3,9.832205130E0
1.509686000E0,-1.361429214E0,-1.139282608E1,5.486669540E-1,1.148699312E1
1.519709000E0,-1.677857399E0,-1.344288921E1,1.436864972E0,1.362318086E1
1.529633000E0,-1.244753957E0,-1.644773483E1,1.273153067E0,1.654383004E1
