"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
8.433936580E-1	-1.026061177E-2	6.114625931E-2	2.141981125E-1	2.229909787E-1
8.533555790E-1	-2.094250917E-2	2.339642048E-1	8.883905411E-1	9.189208841E-1
8.633285390E-1	1.452576369E-2	3.257682323E-1	1.109937668E0	1.156848117E0
8.733225190E-1	-3.521680832E-3	2.328085899E-2	7.994174957E-2	8.333717032E-2
8.832795090E-1	-4.342126846E-2	1.050446033E-1	4.599647522E-1	4.738009587E-1
8.936150040E-1	-6.383371353E-2	3.562552929E-1	1.253806114E0	1.304998984E0
9.034272520E-1	-5.246347189E-2	3.504776955E-1	1.286097527E0	1.334029190E0
9.133548760E-1	-3.541028500E-2	1.401755810E-1	5.601692200E-1	5.785262628E-1
9.233221880E-1	-1.873910427E-2	5.353832245E-2	2.160682678E-1	2.233897991E-1
9.333008440E-1	3.871703148E-2	-7.358527184E-2	-2.562704086E-1	2.694222023E-1
9.433336720E-1	1.612223387E-1	-7.647709846E-1	-1.683212757E0	1.855821243E0
9.533010860E-1	5.686823130E-1	-1.885124922E0	-2.799768448E0	3.422834922E0
9.632832930E-1	6.221059561E-1	-1.114980936E0	-2.460126400E0	2.771717917E0
9.732863960E-1	2.663714886E-1	-8.262400627E-1	-1.871958733E0	2.063457271E0
9.832774480E-1	9.269773960E-2	-4.481558800E-1	-1.188196182E0	1.273281874E0
9.933014740E-1	1.482599974E-2	-1.305861473E-1	-3.985481262E-1	4.196583861E-1
1.003426987E0	-2.794563770E-4	8.341884613E-2	2.719373703E-1	2.844445734E-1
1.013338743E0	2.490993142E-1	9.759116173E-2	8.282890320E-1	8.704235887E-1
1.023291121E0	3.357263207E-1	1.493430138E-2	1.355722427E0	1.396752840E0
1.033352310E0	4.120828211E-1	3.082990646E-2	1.244535446E0	1.311347098E0
1.043515405E0	3.355699778E-2	-1.880745888E-1	5.439682007E-1	5.765410015E-1
1.053442452E0	-5.875770450E-1	-3.251268864E-1	2.965631485E-1	7.341007949E-1
1.063435976E0	-5.885405540E-1	-2.394642830E-1	2.256965637E-1	6.742863379E-1
1.073350738E0	-3.952314556E-1	1.348106861E-1	4.318428040E-1	6.007245890E-1
1.083322619E0	-9.475886822E-3	3.763344288E-1	6.589279175E-1	7.588829917E-1
1.093344559E0	2.061962485E-1	2.354688644E-1	6.409883499E-1	7.133221879E-1
1.103304529E0	4.163674116E-1	1.124043465E-1	3.098306656E-1	5.310288127E-1
1.113316014E0	3.339120150E-1	-2.398681641E-2	4.532051086E-2	3.378262124E-1
1.123286257E0	4.989438653E-1	1.331908703E-1	-5.584802628E-1	7.606477454E-1
1.133286878E0	2.626445889E-1	-1.718237400E-1	-9.468021393E-1	9.974667256E-1
1.143278689E0	1.721595526E-1	-3.473749161E-1	-1.273616791E0	1.331318134E0
1.153283594E0	-6.144160032E-2	-4.788031578E-1	-1.285438538E0	1.373091318E0
1.163321047E0	-4.190021753E-1	-3.655965328E-1	-7.859277725E-1	9.627596332E-1
1.173405773E0	-7.462471128E-1	-1.376798153E-1	-4.346094131E-1	8.744860358E-1
1.183395636E0	-8.608623743E-1	-4.980802536E-3	-1.353921890E-1	8.714584791E-1
1.193383568E0	-8.817701340E-1	1.475880146E-1	8.938121796E-2	8.984930681E-1
1.203357034E0	-1.009297967E0	1.324729919E-1	-2.258739471E-1	1.042713057E0
1.213330267E0	-1.061757803E0	9.023308754E-2	-2.922172546E-1	1.104926498E0
1.223308383E0	-9.956793785E-1	3.422191143E-1	-4.493961334E-1	1.144748108E0
1.233299941E0	-1.269816637E0	5.598285198E-1	-9.702606201E-1	1.693294993E0
1.243281220E0	-1.525596261E0	4.274973869E-1	-1.254830360E0	2.021088123E0
1.253288360E0	-1.413478374E0	4.490420818E-1	-8.610181808E-1	1.714908806E0
1.263309930E0	-1.014447451E0	5.273270607E-1	-1.509323120E-1	1.153238059E0
1.273262715E0	-3.499549925E-1	-1.546697617E-1	-8.916282654E-2	3.928628789E-1
1.283346607E0	-4.145371914E-1	-3.915426731E-1	2.215385437E-3	5.702207080E-1
1.293323053E0	-6.300357580E-1	-3.505816460E-1	2.793855667E-1	7.732456542E-1
1.303401276E0	-7.377196550E-1	-2.062582970E-1	9.922628403E-1	1.253538320E0
1.313369888E0	-7.763826847E-1	-1.243975163E-1	1.661893845E0	1.838514609E0
1.323301694E0	3.230040967E-1	-2.388358116E-2	1.681147575E0	1.712062862E0
1.333370597E0	1.164219141E0	-1.631673098E0	8.976621628E-1	2.196260609E0
1.343492048E0	2.401989102E-1	-1.044168234E0	1.280782700E0	1.669846442E0
1.353396774E0	-5.521854162E-1	-2.106083632E-1	1.371393204E0	1.493313074E0
1.363331137E0	-1.075777173E0	7.079434395E-2	-1.754293919E0	2.059090945E0
1.373360818E0	-1.367506862E0	6.106877327E-2	-1.832274914E0	2.287145770E0
